"stock","name","region","scenario","source","bk_method","r_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"seabob_S_Freire_Base_NN_Demographic inv","seabob","S","Base","Freire","NN","Demographic inv",0.39,0.563367987719612,0.79,0.32,0.401798345057258,0.5,40,82.6815744943311,154,79.48,98.8223491938541,121.79,0.22,0.319348471425788,0.42,0.22,0.324583133905282,0.43,8.68,10.85289491157,13.02,8.66,9.88,11.03,0.16,0.21,0.25,39.74,46.78,60.9,2.95,2.61,0.29,0.45,0.81,0.44,0.65,0.86,0.544,0.263,0.27,0.536,1.1,-0.049,0.936,0.997,0,-0.588665436689757,0.176471551584344,4.3593823411154,0.337650692952328
"seabob_S_Freire_Base_BRT_Smith rebound","seabob","S","Base","Freire","BRT","Smith rebound",0.26,0.425109295300112,0.66,0.2,0.273420093779151,0.37,50,113.154800608589,221,102.93,134.186519763211,170.24,0.22,0.32087685893263,0.42,0.23,0.323463139555213,0.42,8.68,10.85289491157,13.02,7.72,9.29,10.69,0.1,0.15,0.19,51.47,62.41,85.12,2.95,2.61,0.31,0.49,0.85,0.45,0.65,0.84,0.517,0.281,0.275,0.555,1.02,-0.01,0.957,0.999,0.001,-0.881294545964137,0.232889551001236,4.65390874094232,0.37165461151374
"seabob_S_Freire_Base_BRT_Myers","seabob","S","Base","Freire","BRT","Myers",0.15,0.304400377453151,0.55,0.12,0.16612327527279,0.24,63,165.445138623827,357,147.46,198.168291503468,264.7,0.22,0.320237732499295,0.42,0.23,0.3259478091818,0.42,8.68,10.85289491157,13.02,6.43,8.45,10.42,0.06,0.09,0.12,73.73,93.44,132.35,2.95,2.61,0.34,0.55,0.95,0.46,0.65,0.84,0.337,0.42,0.263,0.533,0.922,0.04,0.932,0.997,0.002,-1.24747849282075,0.324820746032565,5.00968732827489,0.434198898019914
"seabob_S_Freire_Base_BRT_Euler","seabob","S","Base","Freire","BRT","Euler",0.72,0.902767679570079,1.12,0.61,0.724630813852647,0.85,26,51.2325042595215,92,49.28,60.219714840233,70.83,0.22,0.320316017885059,0.42,0.22,0.32312903577151,0.43,8.68,10.85289491157,13.02,9.71,10.72,12.08,0.31,0.38,0.43,24.64,28.25,35.42,2.95,2.61,0.26,0.41,0.74,0.43,0.65,0.87,0.677,0.177,0.281,0.553,1.192,-0.092,0.944,0.997,0,-0.107587690832516,0.11045818806976,3.8870282322803,0.319162544028223
"seabob_S_Freire_Base_BRT_Demographic inv","seabob","S","Base","Freire","BRT","Demographic inv",0.39,0.567145854909818,0.79,0.31,0.398444615542409,0.5,40,82.2499775982927,155,79.76,100.193119765696,122.15,0.22,0.319374686957425,0.42,0.22,0.325449437005267,0.43,8.68,10.85289491157,13.02,8.62,9.95,11.27,0.16,0.21,0.25,39.88,47.11,61.07,2.95,2.61,0.29,0.45,0.76,0.45,0.65,0.87,0.596,0.228,0.27,0.511,1.084,-0.041,0.948,0.997,0,-0.588665436689757,0.176471551584344,4.36600185970051,0.340010211009484
"seabob_NE_Silva_Base_NN_Smith rebound","seabob","NE","Base","Silva","NN","Smith rebound",0.26,0.425013536275008,0.66,0.22,0.294494966763611,0.41,24,55.23475569101,109,50.36,72.4995378224407,101,0.4,0.500163487229613,0.6,0.4,0.499440988490725,0.6,4.29,5.36024739940261,6.43,3.92,5.25,7.17,0.11,0.16,0.21,25.18,32.91,50.5,5.95,5.93,0.72,1.16,1.9,0.8,1,1.2,0.592,0.231,0.378,0.679,1.042,-0.021,0.979,0.999,0.198,-0.881294545964137,0.232889551001236,3.93781657379849,0.376370666246984
"seabob_NE_Silva_Base_NN_Myers","seabob","NE","Base","Silva","NN","Myers",0.15,0.302659646840044,0.55,0.12,0.178825444253018,0.27,31,81.7352176789575,179,79.8,117.9713915263,167.37,0.4,0.499696797351874,0.6,0.39,0.493668077325357,0.6,4.29,5.36024739940261,6.43,3.65,5.16,7.26,0.06,0.1,0.13,39.9,52.71,83.68,5.95,5.93,0.72,1.2,2.02,0.79,0.99,1.2,0.445,0.333,0.346,0.633,1.048,-0.024,0.943,0.997,0.199,-1.24747849282075,0.324820746032565,4.31075931733469,0.438526380802402
"seabob_NE_Silva_Base_NN_Euler","seabob","NE","Base","Silva","NN","Euler",0.72,0.904136890131234,1.12,0.68,0.816215614190607,1.01,13,25.2220229153787,45,23.16,29.1623019077696,36.52,0.4,0.50117657355661,0.6,0.41,0.503167855460824,0.61,4.29,5.36024739940261,6.43,4.95,5.88,7.12,0.34,0.43,0.5,11.58,13.68,18.26,5.95,5.93,0.67,1.01,1.55,0.81,1,1.21,0.954,0.023,0.629,0.895,1.01,-0.005,0.974,0.999,0.128,-0.107587690832516,0.11045818806976,3.1783959230938,0.31272876853383
"seabob_NE_Silva_Base_NN_Demographic inv","seabob","NE","Base","Silva","NN","Demographic inv",0.39,0.56192728218382,0.79,0.34,0.438717849805261,0.58,19,40.941182173652,77,37.56,50.5768277205926,67.37,0.4,0.499890267101349,0.6,0.41,0.503554173001779,0.6,4.29,5.36024739940261,6.43,4.26,5.46,7.11,0.17,0.23,0.29,18.78,23.43,33.68,5.95,5.93,0.7,1.1,1.72,0.81,1.01,1.2,0.701,0.163,0.447,0.744,0.979,0.011,0.971,0.999,0.172,-0.588665436689757,0.176471551584344,3.65147296485371,0.345111602804355
"seabob_NE_Silva_Base_BRT_Smith rebound","seabob","NE","Base","Silva","BRT","Smith rebound",0.26,0.424768129001449,0.66,0.22,0.29493009832456,0.41,24,55.4755695636169,110,51.79,73.4119729403904,102.36,0.42,0.518938016055087,0.62,0.42,0.52029196938273,0.62,4.29,5.36024739940261,6.43,3.93,5.32,7.23,0.11,0.16,0.21,25.9,33.3,51.18,5.95,5.93,0.67,1.1,1.75,0.84,1.04,1.24,0.589,0.232,0.388,0.685,1.048,-0.024,0.977,0.999,0.203,-0.881294545964137,0.232889551001236,3.94086098206074,0.379624623306926
"seabob_NE_Silva_Base_BRT_Myers","seabob","NE","Base","Silva","BRT","Myers",0.15,0.302739395813878,0.55,0.12,0.177280791211389,0.26,32,82.5050922802253,177,79.05,118.039417716942,166.65,0.42,0.520145013166006,0.62,0.41,0.512465421523116,0.61,4.29,5.36024739940261,6.43,3.53,5.14,7.32,0.06,0.1,0.13,39.53,52.74,83.32,5.95,5.93,0.7,1.17,1.97,0.82,1.03,1.22,0.431,0.343,0.344,0.628,0.977,0.012,0.939,0.997,0.208,-1.24747849282075,0.324820746032565,4.31374889624998,0.430467560265387
"seabob_NE_Silva_Base_BRT_Euler","seabob","NE","Base","Silva","BRT","Euler",0.72,0.901932476830776,1.12,0.69,0.818592278463234,1,13,25.3892197844304,45,23.26,29.3845942052054,36.92,0.42,0.520219946972406,0.62,0.43,0.524201199737,0.62,4.29,5.36024739940261,6.43,5.04,5.93,7.21,0.34,0.43,0.5,11.63,13.79,18.46,5.95,5.93,0.65,0.97,1.46,0.85,1.05,1.24,0.943,0.029,0.657,0.906,0.981,0.01,0.968,0.999,0.148,-0.107587690832516,0.11045818806976,3.17873523126943,0.319388287126774
